id,term_id,weekday,starts_at,ends_at,label
1,1,6,09:00:00,11:00:00,09-11
2,1,6,11:00:00,13:00:00,11-13
3,1,6,13:00:00,15:00:00,13-15
4,1,6,15:00:00,17:00:00,15-17
5,1,7,09:00:00,11:00:00,09-11
6,1,7,11:00:00,13:00:00,11-13
7,1,7,13:00:00,15:00:00,13-15
8,1,7,15:00:00,17:00:00,15-17
9,1,1,09:00:00,11:00:00,09-11
10,1,1,11:00:00,13:00:00,11-13
11,1,1,13:00:00,15:00:00,13-15
12,1,1,15:00:00,17:00:00,15-17
13,1,2,09:00:00,11:00:00,09-11
14,1,2,11:00:00,13:00:00,11-13
15,1,2,13:00:00,15:00:00,13-15
16,1,2,15:00:00,17:00:00,15-17
17,1,3,09:00:00,11:00:00,09-11
18,1,3,11:00:00,13:00:00,11-13
19,1,3,13:00:00,15:00:00,13-15
20,1,3,15:00:00,17:00:00,15-17
