id,term_id,version_id,section_id,instructor_id,room_id,start_slot_id,ends_at,created_by,created_at
1,1,1,1,8,1,1,11:00,3,2027-09-05T11:00:00Z
2,1,1,2,12,3,2,13:00,3,2027-09-05T11:00:00Z
3,1,1,3,13,4,2,13:00,3,2027-09-05T11:00:00Z
4,1,1,4,9,2,5,11:00,3,2027-09-05T11:00:00Z
5,1,1,5,12,5,6,13:00,3,2027-09-05T11:00:00Z
6,1,1,6,13,5,7,15:00,3,2027-09-05T11:00:00Z
7,1,1,7,10,1,9,11:00,3,2027-09-05T11:00:00Z
8,1,1,8,14,3,10,13:00,3,2027-09-05T11:00:00Z
9,1,1,9,15,4,10,13:00,3,2027-09-05T11:00:00Z
10,1,1,10,11,2,13,11:00,3,2027-09-05T11:00:00Z
11,1,1,11,14,6,14,13:00,3,2027-09-05T11:00:00Z
12,1,1,12,15,6,15,15:00,3,2027-09-05T11:00:00Z
