submission_id,term_id,slot_id,kind
1,1,1,AVAILABLE
1,1,2,AVAILABLE
1,1,5,AVAILABLE
1,1,6,AVAILABLE
2,1,1,AVAILABLE
2,1,2,AVAILABLE
2,1,5,AVAILABLE
2,1,6,AVAILABLE
3,1,9,AVAILABLE
3,1,10,AVAILABLE
3,1,13,AVAILABLE
3,1,14,AVAILABLE
3,1,17,AVAILABLE
4,1,9,AVAILABLE
4,1,10,AVAILABLE
4,1,13,AVAILABLE
4,1,14,AVAILABLE
5,1,2,AVAILABLE
5,1,3,AVAILABLE
5,1,6,AVAILABLE
5,1,7,AVAILABLE
6,1,2,AVAILABLE
6,1,3,AVAILABLE
6,1,6,AVAILABLE
6,1,7,AVAILABLE
7,1,10,AVAILABLE
7,1,11,AVAILABLE
7,1,14,AVAILABLE
7,1,15,AVAILABLE
8,1,10,AVAILABLE
8,1,11,AVAILABLE
8,1,14,AVAILABLE
8,1,15,AVAILABLE
