id,term_id,course_id,requirement_id,kind,code,max_capacity,status,created_by,created_at,updated_at
1,1,1,1,LECTURE,AI301-L1,20,ACTIVE,5,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
2,1,1,2,PRACTICAL,AI301-P1,8,ACTIVE,5,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
3,1,1,2,PRACTICAL,AI301-P2,8,ACTIVE,5,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
4,1,2,3,LECTURE,AI302-L1,20,ACTIVE,5,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
5,1,2,4,PRACTICAL,AI302-P1,8,ACTIVE,5,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
6,1,2,4,PRACTICAL,AI302-P2,8,ACTIVE,5,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
7,1,3,5,LECTURE,CS301-L1,20,ACTIVE,6,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
8,1,3,6,PRACTICAL,CS301-P1,8,ACTIVE,6,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
9,1,3,6,PRACTICAL,CS301-P2,8,ACTIVE,6,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
10,1,4,7,LECTURE,CS302-L1,20,ACTIVE,6,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
11,1,4,8,PRACTICAL,CS302-P1,8,ACTIVE,6,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
12,1,4,8,PRACTICAL,CS302-P2,8,ACTIVE,6,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
