id,student_id,course_id,term_id,state,registered_by,registered_at,updated_at
1,1,1,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
2,1,2,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
3,2,1,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
4,2,2,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
5,3,1,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
6,3,2,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
7,4,1,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
8,4,2,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
9,5,1,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
10,5,2,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
11,6,1,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
12,6,2,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
13,7,1,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
14,7,2,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
15,8,1,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
16,8,2,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
17,9,1,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
18,9,2,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
19,10,1,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
20,10,2,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
21,11,1,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
22,11,2,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
23,12,1,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
24,12,2,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
25,13,1,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
26,13,2,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
27,14,1,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
28,14,2,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
29,15,1,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
30,15,2,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
31,16,1,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
32,16,2,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
33,17,3,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
34,17,4,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
