id,registration_id,term_id,course_id,section_kind,section_id,state,assigned_by,assigned_at,ended_at
1,1,1,1,LECTURE,1,ACTIVE,5,2027-09-02T09:00:00Z,
2,1,1,1,PRACTICAL,2,ACTIVE,5,2027-09-02T09:00:00Z,
3,2,1,2,LECTURE,4,ACTIVE,5,2027-09-02T09:00:00Z,
4,2,1,2,PRACTICAL,5,ACTIVE,5,2027-09-02T09:00:00Z,
5,3,1,1,LECTURE,1,ACTIVE,5,2027-09-02T09:00:00Z,
6,3,1,1,PRACTICAL,2,ACTIVE,5,2027-09-02T09:00:00Z,
7,4,1,2,LECTURE,4,ACTIVE,5,2027-09-02T09:00:00Z,
8,4,1,2,PRACTICAL,5,ACTIVE,5,2027-09-02T09:00:00Z,
9,5,1,1,LECTURE,1,ACTIVE,5,2027-09-02T09:00:00Z,
10,5,1,1,PRACTICAL,2,ACTIVE,5,2027-09-02T09:00:00Z,
11,6,1,2,LECTURE,4,ACTIVE,5,2027-09-02T09:00:00Z,
12,6,1,2,PRACTICAL,5,ACTIVE,5,2027-09-02T09:00:00Z,
13,7,1,1,LECTURE,1,ACTIVE,5,2027-09-02T09:00:00Z,
14,7,1,1,PRACTICAL,2,ACTIVE,5,2027-09-02T09:00:00Z,
15,8,1,2,LECTURE,4,ACTIVE,5,2027-09-02T09:00:00Z,
16,8,1,2,PRACTICAL,5,ACTIVE,5,2027-09-02T09:00:00Z,
17,9,1,1,LECTURE,1,ACTIVE,5,2027-09-02T09:00:00Z,
18,9,1,1,PRACTICAL,2,ACTIVE,5,2027-09-02T09:00:00Z,
19,10,1,2,LECTURE,4,ACTIVE,5,2027-09-02T09:00:00Z,
20,10,1,2,PRACTICAL,5,ACTIVE,5,2027-09-02T09:00:00Z,
21,11,1,1,LECTURE,1,ACTIVE,5,2027-09-02T09:00:00Z,
22,11,1,1,PRACTICAL,2,ACTIVE,5,2027-09-02T09:00:00Z,
23,12,1,2,LECTURE,4,ACTIVE,5,2027-09-02T09:00:00Z,
24,12,1,2,PRACTICAL,5,ACTIVE,5,2027-09-02T09:00:00Z,
25,13,1,1,LECTURE,1,ACTIVE,5,2027-09-02T09:00:00Z,
26,13,1,1,PRACTICAL,2,ACTIVE,5,2027-09-02T09:00:00Z,
27,14,1,2,LECTURE,4,ACTIVE,5,2027-09-02T09:00:00Z,
28,14,1,2,PRACTICAL,5,ACTIVE,5,2027-09-02T09:00:00Z,
29,15,1,1,LECTURE,1,ACTIVE,5,2027-09-02T09:00:00Z,
30,15,1,1,PRACTICAL,2,ACTIVE,5,2027-09-02T09:00:00Z,
31,16,1,2,LECTURE,4,ACTIVE,5,2027-09-02T09:00:00Z,
32,16,1,2,PRACTICAL,5,ACTIVE,5,2027-09-02T09:00:00Z,
33,17,1,1,LECTURE,1,ACTIVE,5,2027-09-02T09:00:00Z,
34,17,1,1,PRACTICAL,3,ACTIVE,5,2027-09-02T09:00:00Z,
35,18,1,2,LECTURE,4,ACTIVE,5,2027-09-02T09:00:00Z,
36,18,1,2,PRACTICAL,6,ACTIVE,5,2027-09-02T09:00:00Z,
37,19,1,1,LECTURE,1,ACTIVE,5,2027-09-02T09:00:00Z,
38,19,1,1,PRACTICAL,3,ACTIVE,5,2027-09-02T09:00:00Z,
39,20,1,2,LECTURE,4,ACTIVE,5,2027-09-02T09:00:00Z,
40,20,1,2,PRACTICAL,6,ACTIVE,5,2027-09-02T09:00:00Z,
41,21,1,1,LECTURE,1,ACTIVE,5,2027-09-02T09:00:00Z,
42,21,1,1,PRACTICAL,3,ACTIVE,5,2027-09-02T09:00:00Z,
43,22,1,2,LECTURE,4,ACTIVE,5,2027-09-02T09:00:00Z,
44,22,1,2,PRACTICAL,6,ACTIVE,5,2027-09-02T09:00:00Z,
45,23,1,1,LECTURE,1,ACTIVE,5,2027-09-02T09:00:00Z,
46,23,1,1,PRACTICAL,3,ACTIVE,5,2027-09-02T09:00:00Z,
47,24,1,2,LECTURE,4,ACTIVE,5,2027-09-02T09:00:00Z,
48,24,1,2,PRACTICAL,6,ACTIVE,5,2027-09-02T09:00:00Z,
49,25,1,1,LECTURE,1,ACTIVE,5,2027-09-02T09:00:00Z,
50,25,1,1,PRACTICAL,3,ACTIVE,5,2027-09-02T09:00:00Z,
51,26,1,2,LECTURE,4,ACTIVE,5,2027-09-02T09:00:00Z,
52,26,1,2,PRACTICAL,6,ACTIVE,5,2027-09-02T09:00:00Z,
53,27,1,1,LECTURE,1,ACTIVE,5,2027-09-02T09:00:00Z,
54,27,1,1,PRACTICAL,3,ACTIVE,5,2027-09-02T09:00:00Z,
55,28,1,2,LECTURE,4,ACTIVE,5,2027-09-02T09:00:00Z,
56,28,1,2,PRACTICAL,6,ACTIVE,5,2027-09-02T09:00:00Z,
57,29,1,1,LECTURE,1,ACTIVE,5,2027-09-02T09:00:00Z,
58,29,1,1,PRACTICAL,3,ACTIVE,5,2027-09-02T09:00:00Z,
