id,term_id,weekday,starts_at,ends_at,label
1,1,6,09:00,11:00,Saturday 09:00-11:00
2,1,6,11:00,13:00,Saturday 11:00-13:00
3,1,6,13:00,15:00,Saturday 13:00-15:00
4,1,6,15:00,17:00,Saturday 15:00-17:00
5,1,7,09:00,11:00,Sunday 09:00-11:00
6,1,7,11:00,13:00,Sunday 11:00-13:00
7,1,7,13:00,15:00,Sunday 13:00-15:00
8,1,7,15:00,17:00,Sunday 15:00-17:00
9,1,1,09:00,11:00,Monday 09:00-11:00
10,1,1,11:00,13:00,Monday 11:00-13:00
11,1,1,13:00,15:00,Monday 13:00-15:00
12,1,1,15:00,17:00,Monday 15:00-17:00
13,1,2,09:00,11:00,Tuesday 09:00-11:00
14,1,2,11:00,13:00,Tuesday 11:00-13:00
15,1,2,13:00,15:00,Tuesday 13:00-15:00
16,1,2,15:00,17:00,Tuesday 15:00-17:00
17,1,3,09:00,11:00,Wednesday 09:00-11:00
18,1,3,11:00,13:00,Wednesday 11:00-13:00
19,1,3,13:00,15:00,Wednesday 13:00-15:00
20,1,3,15:00,17:00,Wednesday 15:00-17:00
